"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;3;"tanh";1;32;10;0,145460333227918
8;3;"tanh";1;64;1;0,191517606982063
8;3;"tanh";1;64;5;0,162524168295779
8;3;"tanh";1;64;10;0,155490095468658
8;3;"tanh";7;1;1;0,138376271856866
8;3;"tanh";7;1;5;0,122967582648493
8;3;"tanh";7;1;10;0,138190154449582
8;3;"tanh";7;8;1;0,11882079601894
8;3;"tanh";7;8;5;0,110853691882026
8;3;"tanh";7;8;10;0,10851332491095
8;3;"tanh";7;16;1;0,11275731927692
8;3;"tanh";7;16;5;0,121184988921577
8;3;"tanh";7;16;10;0,115446720088247
8;3;"tanh";7;32;1;0,136846202251479
8;3;"tanh";7;32;5;0,118702238528604
8;3;"tanh";7;32;10;0,114346075587675
8;3;"tanh";7;64;1;0,156166244068106
8;3;"tanh";7;64;5;0,118097561541042
8;3;"tanh";7;64;10;0,115957388226178
8;3;"tanh";30;1;1;0,226591666696285
8;3;"tanh";30;1;5;0,143935635903432
8;3;"tanh";30;1;10;0,134236786368962
8;3;"tanh";30;8;1;0,126919648092864
8;3;"tanh";30;8;5;0,123052873810337
8;3;"tanh";30;8;10;0,116504386626029
8;3;"tanh";30;16;1;0,13719924115389
8;3;"tanh";30;16;5;0,112155812893777
8;3;"tanh";30;16;10;0,109044855915925
8;3;"tanh";30;32;1;0,128543899032116
8;3;"tanh";30;32;5;0,121096961148986
8;3;"tanh";30;32;10;0,105048425464757
8;3;"tanh";30;64;1;0,137317815379469
8;3;"tanh";30;64;5;0,109144473494661
8;3;"tanh";30;64;10;0,108188487931011
